Title,Link,Abstract,Author,BibTex,Year,Journal,SupplementalLink,Tags,
Functional inference of complex anatomical tendinous networks at a macroscopic scale via sparse experimentation.,Papers/Saxena2012.pdf,"In systems and computational biology, much effort is devoted to functional identification of systems and networks at the molecular-or cellular scale. However, similarly important networks exist at anatomical scales such as the tendon network of human fingers: the complex array of collagen fibers that transmits and distributes muscle forces to finger joints. This network is critical to the versatility of the human hand, and its function has been debated since at least the 16th century. Here, we experimentally infer the structure (both topology and parameter values) of this network through sparse interrogation with force inputs. A population of models representing this structure co-evolves in simulation with a population of informative future force inputs via the predator-prey estimation-exploration algorithm. Model fitness depends on their ability to explain experimental data, while the fitness of future force inputs depends on causing maximal functional discrepancy among current models. We validate our approach by inferring two known synthetic Latex networks, and one anatomical tendon network harvested from a cadaver&#39;s middle finger. We find that functionally similar but structurally diverse models can exist within a narrow range of the training set and cross-validation errors. For the Latex networks, models with low training set error [<4%] and resembling the known network have the smallest cross-validation errors [∼5%]. The low training set [<4%] and cross validation [<7.2%] errors for models for the cadaveric specimen demonstrate what, to our knowledge, is the first experimental inference of the functional structure of complex anatomical networks. This work expands current bioinformatics inference approaches by demonstrating that sparse, yet informative interrogation of biological specimens holds significant computational advantages in accurate and efficient inference over random testing, or assuming model topology and only inferring parameters values. These findings also hold clues to both our evolutionary history and the development of versatile machines.","Saxena A, Lipson H and Valero-Cuevas FJ.","@article{saxena2012functional,
  title={Functional inference of complex anatomical tendinous networks at a macroscopic scale via sparse experimentation},
  author={Saxena, Anupam and Lipson, Hod and Valero-Cuevas, Francisco J},
  journal={PLOS Comput Biol},
  volume={8},
  number={11},
  pages={e1002751},
  year={2012},
  publisher={Public Library of Science}
}",2012,PLOS Comput Biol,,neuroscience computation_and_modeling,
Extrapolatable analytical functions for tendon excursions and moment arms from sparse datasets.,Papers/Kurse2012Extrapolatable.pdf,"Computationally efficient modeling of complex neuromuscular systems for dynamics and control simulations often requires accurate analytical expressions for moment arms over the entire range of motion. Conventionally, polynomial expressions are regressed from experimental data. But these polynomial regressions can fail to extrapolate, may require large datasets to train, are not robust to noise, and often have numerous free parameters. We present a novel method that simultaneously estimates both the form and parameter values of arbitrary analytical expressions for tendon excursions and moment arms over the entire range of motion from sparse datasets. This symbolic regression method based on genetic programming has been shown to find the appropriate form of mathematical expressions that capture the physics of mechanical systems. We demonstrate this method by applying it to 1) experimental data from a physical tendon-driven robotic system with arbitrarily routed multiarticular tendons and 2) synthetic data from musculoskeletal models. We show it outperforms polynomial regressions in the amount of training data, ability to extrapolate, robustness to noise, and representation containing fewer parameters-all critical to realistic and efficient computational modeling of complex musculoskeletal systems.","Kurse MU, Lipson H, and Valero-Cuevas FJ.","@article{kurse2012extrapolatable,
  title={Extrapolatable analytical functions for tendon excursions and moment arms from sparse datasets},
  author={Kurse, Manish U and Lipson, Hod and Valero-Cuevas, Francisco J},
  journal={IEEE Transactions on Biomedical Engineering},
  volume={59},
  number={6},
  pages={1572--1582},
  year={2012},
  publisher={IEEE}
}",2012,IEEE Transactions on Biomedical Engineering,,neuroscinec computation_and_modeling robotics,
Dissociation of brain areas associated with force production and stabilization during manipulation of unstable objects.,Papers/Holmstrom_2011_EBR.pdf,"Multifinger dexterous manipulation of unstable or deformable objects requires control of both direction and magnitude of fingertip force vectors. Our aim was to study the neuroanatomical correlates of these two distinct control functions. Brain activity was measured using functional magnetic resonance imaging while 16 male subjects (age: 26–42, M = 32, SD ± 4 years) compressed four springs representing a 2 × 2 factorial design with two levels of force and instability requirements. Significant activations associated with higher instability were located bilaterally in the precentral gyri, the postcentral gyrus, and the cerebellum. In the main effect for high force, activity was found in areas located in the primary motor regions contralateral to the active hand and bilaterally in the cerebellum. An overlap in activation between the two main effects was found bilaterally in the cerebellum (lobule VI). This study not only confirms a recently described bilateral fronto-parieto-cerebellar network for manipulation of increasingly unstable objects, but critically extends our understanding by describing its differentiated modulation with both force magnitude and instability requirements. Our results, therefore, expose a previously unrecognized and context-sensitive system of brain regions that enable dexterous manipulation for different force magnitude and instability requirements of the task.","HolmstrË†m L, de Manzano Ã·, Vollmer B, Forsman L, Valero-Cuevas FJ, UllÃˆn F, and Forssberg H","@article{holmstrom2011dissociation,
  title={Dissociation of brain areas associated with force production and stabilization during manipulation of unstable objects},
  author={Holmstr{\&#34;o}m, Linda and de Manzano, {\&#34;O}rjan and Vollmer, Brigitte and Forsman, Lea and Valero-Cuevas, Francisco J and Ull{\&#39;e}n, Fredrik and Forssberg, Hans},
  journal={Experimental brain research},
  volume={215},
  number={3-4},
  pages={359--367},
  year={2011},
  publisher={Springer}
}",2011,Experimental brain research,,neuroscienc manipulation clinical_research biomechanics,
Neuromuscular stochastic optimal control of a tendon-driven index finger model.,Papers/EvangelosACC11.pdf,"Our long-term goal is to find control principles to control robotic hands with dexterity and robustness comparable to that of the human hand. Here we explore a control strategy capable of accommodating the nonlinearities, high dimensionality and endogenous noise intrinsic to complex, tendon-driven biomechanical structures. We present the first stochastic optimal feedback controller (i.e., an iterative Linear Quadratic Gaussian controller) applied to a tendon-driven simulated robotic index finger model. In our model we take into account both the tendon network driving of the index finger, and we consider first-order muscle dynamics. Our feedback controller shows robustness against noise and perturbation of the dynamics. Moreover, it can also successfully overcome the nonlinearities intrinsic to the mechanics of the finger for large postural changes, and the need for non-negative control signals. Our simulations provide, for the first time, the complete time history of tendon tensions, lengths and velocities for the tasks of tapping with nonzero terminal velocities required for dynamic manipulation. We find that the optimal control of realistic tendon-driven systems fundamentally stretches current methods to their limits. To find a successful control strategy, the algorithm must overcome several critical challenges inherent to the control of tendon-driven fingers systems in which all uni-directional control commands can actuate all joints (either directly or through dynamic coupling). Therefore, all elements of the solution are interwoven including the tuning of the cost function, the dynamics of the plant, and the initial guesses for state and control trajectories.","Theodorou E, Todorov E, and Valero-Cuevas FJ.","@inproceedings{theodorou2011neuromuscular,
  title={Neuromuscular stochastic optimal control of a tendon driven index finger model},
  author={Theodorou, Evangelos and Todorov, Emanuel and Valero-Cuevas, Francisco J},
  booktitle={American Control Conference (ACC), 2011},
  pages={348--355},
  year={2011},
  organization={IEEE}
}",2011,IEEE American Control Conference,,robotics manipulation biomechanics,
Muscle redundancy does not imply robustness to muscle dysfunction,Papers/Kutch&Valero-Cuevas_JOB2011.pdf,"It is well-known that muscle redundancy grants the CNS numerous options to perform a task. Does muscle redundancy, however, allow sufficient robustness to compensate for loss or dysfunction of even a single muscle? Are all muscles equally redundant? We combined experimental and computational approaches to establish the limits of motor robustness for static force production. In computer-controlled cadaveric index fingers, we find that only a small subset (<5%) of feasible forces is robust to loss of any one muscle. Importantly, the loss of certain muscles compromises force production significantly more than others. Further computational modeling of a multi-joint, multi-muscle leg demonstrates that this severe lack of robustness generalizes to whole limbs. These results provide a biomechanical basis to begin to explain why redundant motor systems can be vulnerable to even mild neuromuscular pathology.",Kutch JJ and Valero-Cuevas FJ.,"@article{kutch2011muscle,
  title={Muscle redundancy does not imply robustness to muscle dysfunction},
  author={Kutch, Jason J and Valero-Cuevas, Francisco J},
  journal={Journal of biomechanics},
  volume={44},
  number={7},
  pages={1264--1270},
  year={2011},
  publisher={Elsevier}
}",2011,Journal of biomechanics,,neuroscience biomechanics,
Controlling instabilities in manipulation requires specific cortical-striatal-cerebellar networks.,Papers/J%20Neurophysiol-2011-Mosier-1295-305.pdf,"Dexterous manipulation requires both strength, the ability to produce fingertip forces of a specific magnitude, and dexterity, the ability to dynamically regulate the magnitude and direction of fingertip force vectors and finger motions. Although cortical activity in fronto-parietal networks has been established for stable grip and pinch forces, the cortical regulation in the dexterous control of unstable objects remains unknown. We used functional magnetic resonance imaging (fMRI) to interrogate cortical networks engaged in the control of four objects with increasing instabilities but requiring constant strength. In addition to expected activity in fronto-parietal networks we find that dexterous manipulation of increasingly unstable objects is associated with a linear increase in the amplitude of the BOLD signal in the basal ganglia (P = 0.007 and P = 0.023 for 2 compression tasks). A computational regression (connectivity) model identified independent subsets of cortical networks whose connection strengths were mutable and associated with object instability (P < 0.001). Our results suggest that in the presence of object instability, the basal ganglia may modulate the activity of premotor areas and subsequent motor output. This work, therefore, provides new evidence for the selectable cortical representation and execution of dynamic multifinger manipulation for grasp stability.","Kristine Mosier, Chad Lau, Yang Wang, Madhusudhan Venkadesan, Francisco J. Valero-Cuevas","@article{mosier2011controlling,
  title={Controlling instabilities in manipulation requires specific cortical-striatal-cerebellar networks},
  author={Mosier, Kristine and Lau, Chad and Wang, Yang and Venkadesan, Madhusudhan and Valero-Cuevas, Francisco J},
  journal={Journal of neurophysiology},
  volume={105},
  number={3},
  pages={1295--1305},
  year={2011},
  publisher={Am Physiological Soc}
}",2011,Journal of neurophysiology,,manipulation computation_and_modeling neuroscience,
Definition and Classification of Hyperkinetic Movements in Childhood.,Papers/SangerValero-CuevasEtAl_2010.pdf,"Hyperkinetic movements are unwanted or excess movements that are frequently seen in children with neurologic disorders. They are an important clinical finding with significant implications for diagnosis and treatment. However, the lack of agreement on standard terminology and definitions interferes with clinical treatment and research. We describe definitions of dystonia, chorea, athetosis, myoclonus, tremor, tics, and stereotypies that arose from a consensus meeting in June 2008 of specialists from different clinical and basic science fields. Dystonia is a movement disorder in which involuntary sustained or intermittent muscle contractions cause twisting and repetitive movements, abnormal postures, or both. Chorea is an ongoing random-appearing sequence of one or more discrete involuntary movements or movement fragments. Athetosis is a slow, continuous, involuntary writhing movement that prevents maintenance of a stable posture. Myoclonus is a sequence of repeated, often nonrhythmic, brief shock-like jerks due to sudden involuntary contraction or relaxation of one or more muscles. Tremor is a rhythmic back-and-forth or oscillating involuntary movement about a joint axis. Tics are repeated, individually recognizable, intermittent movements or movement fragments that are almost always briefly suppressible and are usually associated with awareness of an urge to perform the movement. Stereotypies are repetitive, simple movements that can be voluntarily suppressed. We provide recommended techniques for clinical examination and suggestions for differentiating between the different types of hyperkinetic movements, noting that there may be overlap between conditions. These definitions and the diagnostic recommendations are intended to be reliable and useful for clinical practice, communication between clinicians and researchers, and for the design of quantitative tests that will guide and assess the outcome of future clinical trials. © 2010 Movement Disorder Society","Sanger TD, Chen D, Fehlings DL, Hallett M, Lang AE, Mink JW, Singer H, Alter K, Ben-Pazi H, Butler E, Chen R, Collins A, Dayanidhi S, Forssberg H, Fowler E, Gilbert DL, Gorman SL, Gormley ME Jr., Jinnah HA, Kornblau B, Krosschell K, Lehman RK, MacKinnon A, Malanga CJ, Mesterman R, Barry Michaels M, Pearson TS, Rose J, Russman B, Sternad D, Swoboda K, and Valero-Cuevas FJ.","@article{sanger2010definition,
  title={Definition and classification of hyperkinetic movements in childhood},
  author={Sanger, Terence D and Chen, Daofen and Fehlings, Darcy L and Hallett, Mark and Lang, Anthony E and Mink, Jonathan W and Singer, Harvey S and Alter, Katharine and Ben-Pazi, Hilla and Butler, Erin E and others},
  journal={Movement Disorders},
  volume={25},
  number={11},
  pages={1538--1549},
  year={2010},
  publisher={Wiley Online Library}
}",2010,Movement Disorders,,neuroscience,
Evidence of validity in a new method for measurement of dexterity in children and adolescents.,Papers/vollmer2010.pdf,"Aim  Many everyday activities involve manipulation of objects with the fingertips. Impaired performance in manipulative tasks is common in neurodevelopmental disorders. Thus accurate assessment of an individual&#39;s ability to coordinate fingertip forces is important for planning treatment. We evaluated a recently developed assessment tool (the Strength–Dexterity Test), which is based on manipulation of unstable objects, in a paediatric population.
Method  A Rasch model was used to examine the validity and reliability of the Strength–Dexterity Test in a sample of 56 typically developing children and adolescents (30 males, 26 females; age range 4y 10mo–17y 3mo; mean age 9y 8mo, SD 3y 8mo). In addition, we examined how performance on this test relates to widely used tests for assessment of gross manual dexterity (assessed with the Box and Blocks Test) and finger strength measured with a pinch meter.
Results  The constructs measured with the 78-item Strength–Dexterity Test include dexterity and strength, and form a unique unidimensional latent trait, named fingertip force coordination, that improves with age. The test has internal scale validity when applied to a typical paediatric population. Positive correlations (significant at p<0.001) were found among all three tests.
Interpretation  We provide preliminary evidence of construct validity in the Strength–Dexterity Test. Our findings suggest that this test has the potential to be developed into a promising tool for assessing dexterity in children.","Vollmer B, Holmström L, Forsman L, Valero-Cuevas FJ, Forssberg H and Ullen F.","@article{vollmer2010evidence,
  title={Evidence of validity in a new method for measurement of dexterity in children and adolescents},
  author={Vollmer, Brigitte and Holmstr{\&#34;o}m, Linda and Forsman, Lea and KRUMLINDE-SUNDHOLM, LENA and VALERO-CUEVAS, FRANCISCO J and Forssberg, Hans and Ull{\&#39;e}n, Fredrik},
  journal={Developmental Medicine \& Child Neurology},
  volume={52},
  number={10},
  pages={948--954},
  year={2010},
  publisher={Wiley Online Library}
}",2010,Developmental Medicine \& Child Neurology,Papers/S-D%20plane%20coded%20by%20Difficulty%20v2_noline.pdf,manipulation clinical_research,
Slower visuomotor corrections with unchanged latency are an optimal adaptation to increased endogenous noise in the elderly.,Papers/Sherback_ValeroCuevas_Andrea_PLOS2010.pdf,"We analyzed age-related changes in motor response in a visuomotor compensatory tracking task. Subjects used a manipulandum to attempt to keep a displayed cursor at the center of a screen despite random perturbations to its location. Cross-correlation analysis of the perturbation and the subject response showed no age-related increase in latency until the onset of response to the perturbation, but substantial slowing of the response itself. Results are consistent with age-related deterioration in the ratio of signal to noise in visuomotor response. The task is such that it is tractable to use Bayesian and quadratic optimality assumptions to construct a model for behavior. This model assumes that behavior resembles an optimal controller subject to noise, and parametrizes response in terms of latency, willingness to expend effort, noise intensity, and noise bandwidth. The model is consistent with the data for all young (n = 12, age 20–30) and most elderly (n = 12, age 65–92) subjects. The model reproduces the latency result from the cross-correlation method. When presented with increased noise, the computational model reproduces the experimentally observed age-related slowing and the observed lack of increased latency. The model provides a precise way to quantitatively formulate the long-standing hypothesis that age-related slowing is an adaptation to increased noise.","Sherback M, Valero-Cuevas FJ and D&#39;Andrea R.","@article{sherback2010slower,
  title={Slower visuomotor corrections with unchanged latency are consistent with optimal adaptation to increased endogenous noise in the elderly},
  author={Sherback, Michael and Valero-Cuevas, Francisco J and D&#39;Andrea, Raffaello},
  journal={PLoS Comput Biol},
  volume={6},
  number={3},
  pages={e1000708},
  year={2010},
  publisher={Public Library of Science}
}",2010,PLoS Comput Biol,,neuroscience clinical_research,
The anticipatory control of motion-to-force transitions with the fingertips adapts optimally to task difficulty.,Papers/Cianchetti_Valero-Cuevas_JNP2009.pdf,"Moving our fingertips toward objects to produce well-directed forces immediately upon contact is fundamental to dexterous manipulation. This apparently simple motion-to-force transition in fact involves a time-critical, predictive switch in control strategy. Given that dexterous manipulation must accommodate multiple mechanical conditions, we investigated whether and how this transition adapts to task difficulty. Eight adults (19–39 yr) produced ramps of isometric vertical fingertip force against a rigid surface immediately following a tapping motion. By changing target surface friction and size, we defined an easier (sandpaper, 11 mm diam) versus a more difficult (polished steel, 5 mm diam) task. As in prior work, we assembled fine-wire electromyograms from all seven muscles of the index finger into a seven-dimensional vector defining the full muscle coordination pattern—and quantified its temporal evolution as its alignment with a reference coordination pattern vector for steady-state force production. As predicted by numerical optimizations to neuromuscular delays, our empirical and sigmoidal nonlinear regression analyses show that the coordination pattern transitions begin sooner for the more difficult tasks than for the easier tasks (∼120 ms, P < 0.02, and ∼115 ms, P < 0.015, respectively) and that the coordination pattern transition in alignment is well represented by a sigmoidal trend (R^2 > 0.7 in most cases). Importantly, the force vector following contact had smaller directional error (P < 0.02) for the more difficult task even though the transition in coordination pattern was less stereotypical and uniform than for the easier task. These adaptations of transition strategy to task difficulty are compatible with an optimization to counteract neuromuscular delays and noise to enable this fundamental element of dexterous manipulation.","Cianchetti FA, Valero-Cuevas FJ","@article{cianchetti2010anticipatory,
  title={Anticipatory control of motion-to-force transitions with the fingertips adapts optimally to task difficulty},
  author={Cianchetti, Flor A and Valero-Cuevas, Francisco J},
  journal={Journal of neurophysiology},
  volume={103},
  number={1},
  pages={108--116},
  year={2010},
  publisher={Am Physiological Soc}
}",2010,Journal of neurophysiology,,manipulation biomechanics clinical_research,
The Potential of Virtual Reality and Gaming to Assist Successful Aging with Disability.,Papers/Lange_et.al_VR2010.pdf,"Using the advances in computing power, software and hardware technologies, virtual reality (VR), and gaming applications have the potential to address clinical challenges for a range of disabilities. VR-based games can potentially provide the ability to assess and augment cognitive and motor rehabilitation under a range of stimulus conditions that are not easily controllable and quantifiable in the real world. This article discusses an approach for maximizing function and participation for those aging with and into a disability by combining task-specific training with advances in VR and gaming technologies to enable positive behavioral modifications for independence in the home and community. There is potential for the use of VR and game applications for rehabilitating, maintaining, and enhancing those processes that are affected by aging with and into disability, particularly the need to attain a balance in the interplay between sensorimotor function and cognitive demands and to reap the benefits of task-specific training and regular physical activity and exercise.","Lange BS, Requejo P, Flynn SM, Rizzo AA, Valero-Cuevas FJ, Baker L, Winstein C","@article{lange2010potential,
  title={The potential of virtual reality and gaming to assist successful aging with disability},
  author={Lange, BS and Requejo, P and Flynn, Sandra Marie and Rizzo, AA and Valero-Cuevas, FJ and Baker, Lisa and Winstein, C},
  journal={Physical medicine and rehabilitation clinics of North America},
  volume={21},
  number={2},
  pages={339--356},
  year={2010},
  publisher={Elsevier}
}",2010,Physical medicine and rehabilitation clinics of North America,,neuroscience robotics  ,
Morphological Communication: Exploiting Coupled Dynamics in a Complex Mechanical Structure to Achieve Locomotion,Papers/rieffel-jrsi-2009.pdf,"Traditional engineering approaches strive to avoid, or actively suppress, nonlinear dynamic coupling among components. Biological systems, in contrast, are often rife with these dynamics. Could there be, in some cases, a benefit to high degrees of dynamical coupling? Here we present a distributed robotic control scheme inspired by the biological phenomenon of tensegrity-based mechanotransduction. This emergence of morphology-as-information-conduit or morphological communication, enabled by time-sensitive spiking neural networks, presents a new paradigm for the decentralized control of large, coupled, modular systems. These results significantly bolster, both in magnitude and in form, the idea of morphological computation in robotic control. Furthermore, they lend further credence to ideas of embodied anatomical computation in biological systems, on scales ranging from cellular structures up to the tendinous networks of the human hand.","Rieffel JA, Valero-Cuevas FJ and Lipson H.","@article{rieffel2010morphological,
  title={Morphological communication: exploiting coupled dynamics in a complex mechanical structure to achieve locomotion},
  author={Rieffel, John A and Valero-Cuevas, Francisco J and Lipson, Hod},
  journal={Journal of the royal society interface},
  volume={7},
  number={45},
  pages={613--621},
  year={2010},
  publisher={The Royal Society}
}",2010,Journal of the royal society interface,,neuroscience robotics,
A mathematical approach to the mechanical capabilities of limbs and fingers.,Papers/ValeroCuevas2_PMC_V_Chapter.pdf,"Neuromuscular function is the interaction between the nervous system and the physical world. Limbs and fingers are, therefore, the ultimate mechanical filters between the motor commands that the nervous system issues and the physical actions that result. In this chapter we present a mathematical approach to understanding how their anatomy (i.e., physical structure) defines their mechanical capabilities. We call them &#34;mechanical filters&#34; because they attenuate, amplify, and transform neural signals into mechanical output. We explicitly distinguish between limbs and fingers because their subtle anatomical differences have profound effects on their mechanical properties. Our main message is that many aspects of neuromuscular function such as co-contraction, posture selection, muscle redundancy, optimality of motor command, are fundamentally affected (if not defined) by the physical structure of limbs and fingers. We attempt to present the fundamental filtering properties of limbs and fingers in a unified manner to allow for a direct and useful application of powerful mathematical concepts to the study of neuromuscular function. Every researcher of motor control is well advised to consider these filtering properties to properly understand the co-evolution and synergistic interactions between brain and body. At the end of the day, every inquiry in neuromuscular function can be reduced to the fundamental question whether and how the nervous system can perform the necessary sensorimotor functions to exploit and reach the mechanical capabilities of limbs and fingers.",Valero-Cuevas FJ.,"@incollection{valero2009mathematical,
  title={A mathematical approach to the mechanical capabilities of limbs and fingers},
  author={Valero-Cuevas, Francisco J},
  booktitle={Progress in Motor Control},
  pages={619--633},
  year={2009},
  publisher={Springer}
}",2009,Progress in Motor Control,,computation_and_modeling manipulation biomechanics,
Computational models for neuromuscular function.,Papers/Valero-Cuevas_et_al_RBME_Modeling_2009.pdf,"Computational models of the neuromuscular system hold the potential to allow us to reach a deeper understanding of neuromuscular function and clinical rehabilitation by complementing experimentation. By serving as a means to distill and explore specific hypotheses, computational models emerge from prior experimental data and motivate future experimental work. Here we review computational tools used to understand neuromuscular function including musculoskeletal modeling, machine learning, control theory, and statistical model analysis. We conclude that these tools, when used in combination, have the potential to further our understanding of neuromuscular function by serving as a rigorous means to test scientific hypotheses in ways that complement and leverage experimental data.","Valero-Cuevas FJ, Hoffmann H, Kurse MU, Kutch JJ, Theodorou EA.","@article{valero2009computational,
  title={Computational models for neuromuscular function},
  author={Valero-Cuevas, Francisco J and Hoffmann, Heiko and Kurse, Manish U and Kutch, Jason J and Theodorou, Evangelos A},
  journal={IEEE reviews in biomedical engineering},
  volume={2},
  pages={110--135},
  year={2009},
  publisher={IEEE}
}",2009,IEEE reviews in biomedical engineering,,computation_and_modeling neuroscience,
Maximal voluntary fingertip force production is not limited by movement speed in combined motion and force tasks.,Papers/Keenan%20et%20al%20JNeuroscience%202009.pdf,"Numerous studies of limbs and fingers propose that force–velocity properties of muscle limit maximal voluntary force production during anisometric tasks, i.e., when muscles are shortening or lengthening. Although this proposition appears logical, our study on the simultaneous production of fingertip motion and force disagrees with this commonly held notion. We asked eight consenting adults to use their dominant index fingertip to maximize voluntary downward force against a horizontal surface at specific postures (static trials), and also during an anisometric &#34;scratching&#34; task of rhythmically moving the fingertip along a 5.8 ± 0.5 cm target line. The metronome-timed flexion–extension movement speed varied 36-fold from &#34;slow&#34; (1.0 ± 0.5 cm/s) to &#34;fast&#34; (35.9 ± 7.8 cm/s). As expected, maximal downward voluntary force diminished (44.8 ± 15.6%; p = 0.001) when any motion (slow or fast) was added to the task. Surprisingly, however, a 36-fold increase in speed did not affect this reduction in force magnitude. These remarkable results for such an ordinary task challenge the dominant role often attributed to force–velocity properties of muscle and provide insight into neuromechanical interactions. We propose an explanation that the simultaneous enforcement of mechanical constraints for motion and force reduces the set of feasible motor commands sufficiently so that force–velocity properties cease to be the force-limiting factor. While additional work is necessary to reveal the governing mechanisms, the dramatic influence that the simultaneous enforcement of motion and force constraints has on force output begins to explain the vulnerability of dexterous function to development, aging, and even mild neuromuscular pathology.","Keenan KG, Santos VJ, Venkadesan M, and Valero-Cuevas FJ.","@article{keenan2009maximal,
  title={Maximal voluntary fingertip force production is not limited by movement speed in combined motion and force tasks},
  author={Keenan, Kevin G and Santos, Veronica J and Venkadesan, Madhusudhan and Valero-Cuevas, Francisco J},
  journal={Journal of Neuroscience},
  volume={29},
  number={27},
  pages={8784--8789},
  year={2009},
  publisher={Soc Neuroscience}
}",2009,Journal of Neuroscience,,computation_and_modeling manipulation biomechanics neuroscience,
Structured variability of muscle activations supports the minimal intervention principle of motor control,Papers/Valero-Cuevas_et_al_JNP_2009.pdf,"Numerous observations of structured motor variability indicate that the sensorimotor system preferentially controls task-relevant parameters while allowing task-irrelevant ones to fluctuate. Optimality models show that controlling a redundant musculo-skeletal system in this manner meets task demands while minimizing control effort. Although this line of inquiry has been very productive, the data are mostly behavioral with no direct physiological evidence on the level of muscle or neural activity. Furthermore, biomechanical coupling, signal-dependent noise, and alternative causes of trial-to-trial variability confound behavioral studies. Here we address those confounds and present evidence that the nervous system preferentially controls task-relevant parameters on the muscle level. We asked subjects to produce vertical fingertip force vectors of prescribed constant or time-varying magnitudes while maintaining a constant finger posture. We recorded intramuscular electromyograms (EMGs) simultaneously from all seven index finger muscles during this task. The experiment design and selective fine-wire muscle recordings allowed us to account for a median of 91% of the variance of fingertip forces given the EMG signals. By analyzing muscle coordination in the seven-dimensional EMG signal space, we find that variance-per-dimension is consistently smaller in the task-relevant subspace than in the task-irrelevant subspace. This first direct physiological evidence on the muscle level for preferential control of task-relevant parameters strongly suggest the use of a neural control strategy compatible with the principle of minimal intervention. Additionally, variance is nonnegligible in all seven dimensions, which is at odds with the view that muscle activation patterns are composed from a small number of synergies.","Valero-Cuevas FJ, Venkadesan M, Todorov E.","@article{valero2009structured,
  title={Structured variability of muscle activations supports the minimal intervention principle of motor control},
  author={Valero-Cuevas, Francisco J and Venkadesan, Madhusudhan and Todorov, Emanuel},
  journal={Journal of neurophysiology},
  volume={102},
  number={1},
  pages={59--68},
  year={2009},
  publisher={Am Physiological Soc}
}",2009,Journal of neurophysiology,Papers/Valero-Cuevas_et_al_JNP_2009_Supplemental.pdf,neuroscience computation_and_modeling clinical_research,
Why the hand?,Papers/2009_why_the_hand.pdf,"Surely all neuromuscular systems are complex, and complex enough that our
understanding of them (e.g., as described in this book) is universally regarded
as challenging. Nevertheless the neuro-musculo-skeletal complexity of the
human hand has an aura of being somehow different to that of limbs,
and somehow vital to our identity as a species. In fact, the naming of our
palenteological lineage emphasizes two biomechanical and one cognitive
milestone: homo erectus, homo abilis, and homo sapience, where abilis suggests
the manual ability for tool making as a critical evolutionary stage. A reasonable
question is, therefore, whether and how the neuromuscular control of the
human hand is different from other neuromuscular systems in our body, or
other species even. This short Introduction attempts to provide a perspective
from which to understand the breadth and depth of today&#39;s lines of inquiry on
the neuromuscular control of the hand. As such, it is incomplete and does not
do justice to the many investigators currently working in this field, of which
the four chapters of this section are only a small sample. Thus my sincerest
apologies to those I do not mention in this short overview. As a form of
imperfect excuse, I suggest that a reason why it is impossible to do justice to
all investigators and lines of inquiry is because the sensorimotor versatility of
the hand spans an uncommonly large number of dimensions. Few other
neuromuscular systems in our bodies can claim to being important to our
biomechanical, manipulative, perceptual, cognitive, psychological, social,
linguistic, and artistic everyday activities.",Valero-Cuevas FJ.,"@incollection{valero2009hand,
  title={Why the hand?},
  author={Valero-Cuevas, Francisco J},
  booktitle={Progress in Motor Control},
  pages={553--557},
  year={2009},
  publisher={Springer}
}",2009,Springer: Progress in Motor Control,,neuroscience manipulation biomechanics,
Automated discovery and optimization of large irregular tensegrity structures,Papers/rieffel-CandS-2009.pdf,"Tensegrities consist of disjoint struts connected by tensile strings which maintain shape due to pre-stress stability. Because of their rigidity, foldability and deployability, tensegrities are becoming increasingly popular in engineering. Unfortunately few effective analytical methods for discovering tensegrity geometries exist. We introduce an evolutionary algorithm which produces large tensegrity structures, and demonstrate its efficacy and scalability relative to previous methods. A generative representation allows the discovery of underlying structural patterns. These techniques have produced the largest and most complex irregular tensegrities known in the field, paving the way toward novel solutions ranging from space antennas to soft robotics.","Rieffel J, Valero-Cuevas FJ, Lipson H.","@article{rieffel2009automated,
  title={Automated discovery and optimization of large irregular tensegrity structures},
  author={Rieffel, John and Valero-Cuevas, Francisco and Lipson, Hod},
  journal={Computers \& Structures},
  volume={87},
  number={5},
  pages={368--379},
  year={2009},
  publisher={Elsevier}
}",2009,Computers \& Structures,,computation_and_modeling robotics,
